﻿🏖️🚎｜港澳台,#genre#
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
澳门莲花,http://120.84.96.29:808/hls/24/index.m3u8
澳门莲花,http://120.84.96.25:808/hls/24/index.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php
澳门莲花,http://120.84.96.32:808/hls/24/index.m3u8
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://120.84.96.33:808/hls/24/index.m3u8
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd
澳门莲花,https://cntv.sbs/lhws?auth=2307100804
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,rtmp://219.80.97.25/sat/tv551
TVBS新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=54
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
民视新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=59
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,https://ssttvv1.6zxr.xyz/fhwszx/index.m3u8
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,http://61.58.60.230:9319/live/191.m3u8
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大立,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
台视,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/167
台视,rtmp://219.80.97.25/sat/tv071
台视,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=83
台视,http://162.19.247.76:22222/live/taishi/index.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,https://ytb.52sf.ga/live.m3u8?c=5
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
唯心,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
唯心,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
中天娱乐,http://162.19.247.76:22222/live/ztyl/index.m3u8

🏖🚎｜印尼,#genre#
ADiTV,https://v2.siar.us/aditv/livestream/chunks.m3u8
BungoTV,https://5bf7b725107e5.streamlock.net/bungotv/bungotv/playlist.m3u8
CNN,http://live.cnnindonesia.com/livecnn/smil:cnntv.smil/chunklist_w1285822120_b384000_sleng.m3u8
CNN,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/playlist.m3u8
Dhamma TV,https://b.webcache.maxindo.net.id/dhamma/dhamma.m3u8
JawaPosTV,https://v2.siar.us/jawapostv/live/chunks.m3u8
JogjaIstimewa TV,http://103.255.15.222:1935/tv/jitv_720p/playlist.m3u8
MQTV,https://5bf7b725107e5.streamlock.net/mqtv/mqtv/playlist.m3u8
Semarang TV,http://116.254.112.74/hls/cakralive.m3u8
Tegar TV Lampung,http://wms.klikhost.com:1935/tegartv/tegartv/playlist.m3u8
TV9 Nusantara,https://5bf7b725107e5.streamlock.net/tv9/tv9/playlist.m3u8
TV Tabalong,https://5bf7b725107e5.streamlock.net/tvtabalong/tvtabalong/playlist.m3u8
TVKU,http://103.30.1.14:8080/hls/live.m3u8

🎸💃｜国际,#genre#
澳ABC,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index_45.m3u8
澳ABC,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
BBC_News_(720p),https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
Euronews_по-русски,https://edge02.odtv.az/o1/euronews/playlist.m3u8
美Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
美FoxNews,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
美FoxNews,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
美FoxNews,http://live.streams.ovh:1935/foxtv/foxtv/playlist.m3u8
Fox_News_Channel,http://247preview.foxnews.com/hls/live/2020027/fncv3preview/primary.m3u8
美the grio,http://redbox-blacknewschannel-xumo.amagi.tv/playlist.m3u8
美TippingPoint,http://oneamericanews-roku-us.amagi.tv/playlist.m3u8
HLN_(720p),https://turnerlive.warnermediacdn.com/hls/live/586496/cnngo/hln/VIDEO_0_3564000.m3u8
SC_Currents,https://reflect-communitytv.cablecast.tv/live-5/live/live.m3u8
半Al Jazeera,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半Al Jazeera,https://live-hls-v3-aje.getaj.net/AJE-V3/index.m3u8
半Al Jazeera,https://live-hls-web-aje.getaj.net/AJE/index.m3u8
俄RT,https://rt-glb.rttv.com/live/rtnews/playlist.m3u8
印Wion,http://210.210.155.35/uq2663/h/h91/index.m3u8
印NDTV,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/ndtv24x7master.m3u8
印NDTV,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/masterp_480p@1.m3u8
德DW,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
乌M2,http://live.m2.tv/hls3/stream.m3u8
阿联酋4Kurd,http://51.210.199.23/hls/stream.m3u8
波斯Persian Music,http://51.210.199.24/hls/stream.m3u8
CNN Indonesia,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/playlist.m3u8
美CMC,https://cmc-ono.amagi.tv/playlist.m3u8
美CMC,https://cmctv.ios.internapcdn.net/cmctv_vitalstream_com/live_1/CMCU-92/playlist.m3u8
RTL_102.5_News,https://streamcdnb2-dd782ed59e2a4e86aabf6fc508674b59.msvdn.net/live/S38122967/2lyQRIAAGgRR/playlist_video.m3u8
TravelXP,https://travelxp-travelxp-1-eu.rakuten.wurl.tv/playlist.m3u8
美NASA Public Channel,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
美NASA Public Channel,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8
美红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
美红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
美红牛运动,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
日QVC,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
日本购物1,https://stream3.shopch.jp/HLS/master.m3u8
日本购物1,http://stream1.shopch.jp/HLS/out1/prog_index.m3u8
韩TJB SBS,http://1.245.74.5:1935/live/tv/.m3u8
韩国-EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩国-EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩国-EBSe,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩国-KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
韩国-KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国-KCTV,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8
韩国-MBC综合频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
韩国-NBS Korea Agricultural Broadc,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
韩BBS佛教,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韩EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩EBS-1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
韩EBS-2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩EBS-2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韩EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
KBC SBS,http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
韩SBS,http://1.245.74.5:1935/live/tv/.m3u8
韩职业,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
NBS Korea Agricultural Br,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
俄Самара,http://live.guberniatv.cdnvideo.ru/guberniatv/guberniatv.sdp/playlist.m3u8
俄UniverTV,http://cdn.universmotri.ru/live/hq.sdp/chunklist_w1792531.m3u8
俄IGITV蓝光,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
俄RBC(Opt-1)[996*560],http://92.50.128.180/utv/1358/index.m3u8
俄GITV,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
法24台,http://tv.balkanweb.com/news24/livestream/playlist.m3u8
法24台,http://tv.balkanweb.com:8081/news24/livestream/chunks.m3u8
法时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
法时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
越HBTV,http://hoabinhtvlive.746b3ddb.cdnviet.com/hoabinhtv/playlist.m3u8
Al Jazeera,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
Al_Jazeera,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
AXS_TV_Now,https://dikcfc9915kp8.cloudfront.net/hls/1080p/playlist.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
Dubai_One,http://dminnvll.cdn.mangomolo.com/dubaione/smil:dubaione.stream.smil/chunklist_b1800000.m3u8
Fashion_TV,http://91.247.68.229:8000/play/Fashion/index.m3u8
Fight_Network,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8
Indywood_TV_(720p),https://43wrzjnpqoxe-hls-live.wmncdn.net/indywood/indywoodtv/index.m3u8
RT_Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
RT_News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
TBS,http://143.244.60.30/TBS/index.m3u8
Telepace_News_(720p),https://live.mariatvcdn.com/teleradiopace6/d289fe76f16ad32afec471ea1b941583.sdp/index.m3u8
Trace_Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
TRT_World,https://tv-trtworld.live.trt.com.tr/master_1080.m3u8
Wild_Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
Canal_1_Mar_Menor-Torre_Pacheco_(1080p),https://directo.tuwebtv.es/canal1.m3u8
Canal_33_Tijuana_(720p),https://5f2c1b0d880e5.streamlock.net/canal33tijuana/videocanal33tijuana/playlist.m3u8
13_Siam_Thai_(1080p),https://live.x2.co.th/live/13livetv-th.m3u8
92_News_HD_(720p),http://92news.vdn.dstreamone.net/92newshd/92hd/playlist.m3u8 
